level,notation,prefLabel@de,scopeNote@de
"3","BB 320","Neufranzösisch",""
"3","BB 325","Mittelfranzösisch",""
"3","BB 330","Altfranzösisch",""
"3","BB 340","Regional- und Sondersprachen, Dialekte, Slang",""
"3","BB 350","Etymologische Wörterbücher",""
"3","BB 355","Idiomatische Wörterbücher. (Thesauri. Synonymen-Wörterbücher)",""
"3","BB 360","Aussprachewörterbücher",""
"3","BB 365","Rückläufige Wörterbücher",""
"3","BB 370","Fachsprachliche Wörterbücher",""
"2","BB 400","Italienisch",""
"3","BB 410","Italienisch - Deutsch. Deutsch - Italienisch",""
"3","BB 415","Italienisch - sonstige Sprachen. Vice versa",""
"3","BB 420","Neuitalienisch",""
"3","BB 440","Regional- und Sondersprachen, Dialekte, Slang",""
"3","BB 450","Etymologische Wörterbücher",""
"3","BB 455","Idiomatische Wörterbücher. (Thesauri. Synonymen-Wörterbücher)",""
"3","BB 460","Aussprachewörterbücher",""
"3","BB 465","Rückläufige Wörterbücher",""
"3","BB 470","Fachsprachliche Wörterbücher",""
"2","BB 500","Spanisch",""
"3","BB 510","Spanisch - Deutsch. Deutsch - Spanisch",""
"3","BB 515","Spanisch - sonstige Sprachen. Vice versa",""
"3","BB 520","Neuspanisch",""
"3","BB 540","Regional- und Sondersprachen, Dialekte, Slang",""
"3","BB 550","Etymologische Wörterbücher",""
"3","BB 555","Idiomatische Wörterbücher. (Thesauri. Synonymen-Wörterbücher)",""
"3","BB 560","Aussprachewörterbücher",""
"3","BB 565","Rückläufige Wörterbücher",""
"3","BB 570","Fachsprachliche Wörterbücher",""
"2","BB 600","Katalanisch",""
"2","BB 630","Portugiesisch",""
"2","BB 660","Rätoromanisch",""
"2","BB 680","andere romanische Sprachen",""
"2","BB 700","Lateinisch",""
"2","BB 750","Altgriechisch",""
"2","BB 780","Neugriechisch",""
"2","BB 800","Russisch",""
"3","BB 830","Fachsprachliche Wörterbücher",""
"3","BB 840","Polnisch",""
"3","BB 880","andere slawische Sprachen",""
"3","BB 900","Niederländisch",""
"3","BB 910","Skandinavische Sprachen",""
"3","BB 920","sonstige germanische Sprachen",""
"3","BB 930","Keltische Sprachen",""
"3","BB 960","Türkisch",""
"3","BB 990","Wörterbücher sonstiger Sprachen",""
"0","C","Allgemeine Literatur- und Sprachwissenschaft",""
"1","CA","Allgemeine Literatur- und Sprachwissenschaft",""
"2","CA 10","Handbücher",""
"2","CA 20","Spezielle Bibliographien",""
"2","CA 25","Forschungsdokumentationen",""
"2","CA 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","CA 35","Zeitschriften",""
"2","CA 40","Gesamtdarstellungen.",""
"2","CA 50","Einführende Texte. Lehrbücher",""
"1","CB - CK","Allgemeine Sprachwissenschaft",""
"2","CB","Allgemeines zur Allgemeinen Sprachwissenschaft",""
"3","CB 10","Handbücher",""
"3","CB 20","Spezielle Bibliographien",""
"3","CB 25","Forschungsdokumentationen",""
"3","CB 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"3","CB 35","Zeitschriften",""
"3","CB 40","Gesamtdarstellungen.",""
"3","CB 50","Einführende Texte. Lehrbücher",""
"2","CC","Linguistik und andere Wissenschaften. Interdisziplinäres",""
"3","CC 100","Allgemeines",""
"3","CC 200","Linguistik und Literaturwissenschaft",""
"3","CC 300","Linguistik und Sozialwissenschaften, Soziologie.",""
"3","CC 400","Linguistik und Naturwissenschaften",""
"3","CC 500","Linguistik und Biologie",""
"3","CC 600","Recht und Linguistik",""
"2","CD","Geschichte der Allgemeinen Sprachwissenschaft",""
"3","CD 10","Handbücher",""
"3","CD 20","Spezielle Bibliographien",""
"3","CD 25","Forschungsdokumentationen",""
"3","CD 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"3","CD 35","Zeitschriften",""
"3","CD 40","Gesamtdarstellungen.",""
"3","CD 50","Einführende Texte. Lehrbücher",""
"3","CD 100","Allgemeines.",""
"3","CD 200","Antike",""
"3","CD 300","Mittelalter",""
"3","CD 400","Frühe Neuzeit (bis einschließlich 17. Jahrhundert)",""
"3","CD 500","18. Jahrhundert",""
"3","CD 600","19. Jahrhundert",""
"4","CD 610","Allgemeines",""
"4","CD 620","Einzelne Schulen",""
"4","CD 630","Junggrammatiker. Leipziger Schule",""
"3","CD 700","20. Jahrhundert",""
"4","CD 710","Allgemeines",""
"4","CD 720","Sprachgeographie",""
"3","CD 730-","Strukturalismus",""
"4","CD 730","Allgemeines",""
"4","CD 732","Saussure. Genfer Schule",""
"4","CD 734","Hjelmslev. Kopenhagener Schule",""
"4","CD 736","Prager Schule",""
"4","CD 738","Amerikanischer Strukturalismus.",""
"3","CD 740-","Formale Grammatik",""
"4","CD 740","Allgemeines",""
"4","CD 742","Generative Grammatik",""
"4","CD 750","Linguistische Pragmatik. Sprechakttheorie",""
"4","CD 760","Marxismus. Marrismus",""
"4","CD 770","Sonstige.",""
"2","CE","Sprachphilosophie. Sprachtheorie. Sprachgeschichte. Semiotik",""
"3","CE 100","Sprachphilosophie",""
"4","CE 110","Allgemeines",""
"4","CE 120","Geschichte",""
"4","CE 130","Einzeluntersuchungen,",""
"3","CE 200","Sprachtheorie",""
"4","CE 210","Allgemeines",""
"4","CE 220","Geschichte",""
"4","CE 230","Einzeluntersuchungen,",""
"3","CE 300","Theorie der Sprachgeschichtsschreibung",""
"4","CE 310","Allgemeines",""
"4","CE 320","Geschichte",""
"4","CE 330","Einzeluntersuchungen",""
"3","CE 400","Semiotik",""
"4","CE 410","Allgemeines",""
"4","CE 420","Geschichte",""
"4","CE 430","Einzeluntersuchungen,",""
"3","CE 500","Sprachgeschichte. Historische Linguistik. Sprachwandel",""
"4","CE 510","Allgemeines",""
"4","CE 520","Geschichte",""
"4","CE 530","Einzeluntersuchungen",""
"3","CE 800","Kognitive Linguistik. Kogntionsforschung",""
"4","CE 810","Allgemeines",""
"4","CE 820","Einzeluntersuchungen,",""
"2","CF","Vergleichende Sprachwissenschaft. Sprachtypologie. Universalienforschung",""
"3","CF 100","Allgemeines",""
"3","CF 200","Komparativ/kontrastive Linguistik (vergleichend)",""
"4","CF 210","Allgemeines",""
"4","CF 220","Geschichte",""
"4","CF 230","Einzeluntersuchungen,",""
"3","CF 300","Kontrastive Linguistik (wertend/ideologisch)",""
"4","CF 310","Allgemeines",""
"4","CF 320","Geschichte",""
"4","CF 330","Einzeluntersuchungen",""
"3","CF 400","Typologie",""
"4","CF 410","Allgemeines",""
"4","CF 420","Geschichte",""
"4","CF 430","Einzeluntersuchungen",""
"3","CF 500","Universalienforschung",""
"4","CF 510","Allgemeines",""
"4","CF 520","Geschichte",""
"4","CF 530","Einzeluntersuchungen",""
"2","CG","Grammatik (Theorie und Grundlagen)",""
"3","CG 10","Handbücher",""
"3","CG 20","Spezielle Bibliographien",""
"3","CG 25","Forschungsdokumentationen",""
"3","CG 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"3","CG 35","Zeitschriften",""
"3","CG 40","Gesamtdarstellungen,",""
"3","CG 50","Einführende Texte. Lehrbücher",""
"3","CG 100","Allgemeines",""
"3","CG 200","Theorien und Forschungsrichtungen",""
"4","CG 205","Allgemeines,",""
"4","CG 210","Historische Grammatik",""
"4","CG 215","Strukturale Grammatik",""
"4","CG 220","Dependenzgrammatik &lt;hier: Tesnière&gt;",""
"4","CG 225","Kasusgrammatik",""
"4","CG 230","Funktionale Grammatik. Funktionalismus",""
"4","CG 235","Generative Transformationsgrammatik &lt;hier: Chomsky&gt;",""
"4","CG 240","Universalgrammatik, GB-Theorie &lt;Government/Binding Theory&gt;",""
"4","CG 245","Sonstige",""
"3","CG 300","Phonetik und Phonologie. Graphematik",""
"4","CG 310","Allgemeines",""
"4","CG 320","Phonetik",""
"4","CG 330","Phonologie",""
"4","CG 340","Prosodie",""
"4","CG 350","Schrift. Graphematik.  Lautschriften,",""
"3","CG 400","Morphologie",""
"4","CG 410","Allgemeines",""
"4","CG 420","Flexion",""
"4","CG 430","Wortbildung",""
"4","CG 440","Sonstiges",""
"3","CG 500","Lexikologie",""
"4","CG 510","Allgemeines",""
"4","CG 520","Wortfeldforschung",""
"4","CG 530","Etymologie",""
"4","CG 540","Sonstiges,",""
"3","CG 600","Syntax",""
"4","CG 610","Allgemeines",""
"4","CG 620","Satzkonstituenten",""
"4","CG 630","Satztypologie. Konstruktion",""
"4","CG 640","Satzfunktion. Grammatische Relationen. Satzfunktionen",""
"4","CG 650","Grammatische Kategorien (Kasus, Tempus, Modus)",""
"3","CG 700","Textgrammatik, Textlinguistik",""
"4","CG 710","Allgemeines",""
"4","CG 720","Kohärenz",""
"4","CG 730","Textualität",""
"4","CG 740","Text und Kommunikation,",""
"2","CH","Semantik. Pragmatik",""
"3","CH 10","Handbücher",""
"3","CH 20","Spezielle Bibliographien",""
"3","CH 25","Forschungsdokumentationen",""
"3","CH 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"3","CH 40","Gesamtdarstellungen,",""
"3","CH 50","Einführende Texte, Lehrbücher",""
"3","CH 100","Allgemeines",""
"3","CH 200","Semantik",""
"4","CH 210","Allgemeines",""
"4","CH 220","Lexikalische Semantik,",""
"4","CH 230","Satzsemantik",""
"4","CH 240","Sonstiges",""
"3","CH 300","Pragmatik",""
"4","CH 310","Allgemeines",""
"4","CH 320","Sprechakttheorie",""
"4","CH 330","Diskursanalyse,",""
"4","CH 340","Konversationsmaximen",""
"4","CH 350","Sonstiges",""
"2","CI","Psycholinguistik. Patholinguistik. Neurolinguistik",""
"3","CI 10","Handbücher",""
"3","CI 20","Spezielle Bibliographien",""
"3","CI 25","Forschungsdokumentationen",""
"3","CI 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"3","CI 35","Zeitschriften",""
"3","CI 40","Gesamtdarstellungen,",""
"3","CI 50","Einführende Texte. Lehrbücher",""
"3","CI 100","Allgemeines,",""
"3","CI 200","Phylogenese des Sprechens",""
"3","CI 300","Biologische Voraussetzungen des Sprechens",""
"4","CI 310","Allgemeines",""
"4","CI 320","Sprachphysiologie",""
"4","CI 330","Neurolinguistik",""
"3","CI 400","Psycholinguistik",""
"4","CI 410","Allgemeines",""
"4","CI 420","Sprache und Denken. Sprechen und Denken",""
"4","CI 430","Spracherwerb. Kindersprache",""
"4","CI 440","Zweitspracherwerb",""
"4","CI 445","Mehrsprachigkeit. Bilingualismus, Multilingualismus, Interferenz",""
"4","CI 460","Leseforschung. Schriftspracherwerb.",""
"4","CI 470","Hörverstehensforschung",""
"3","CI 500","Patholinguistik",""
"4","CI 510","Allgemeines",""
"4","CI 520","Aphasie",""
"4","CI 530","Sonstiges",""
"2","CJ","Sprache und Gesellschaft",""
"3","CJ 10","Handbücher",""
"3","CJ 20","Spezielle Bibliographien",""
"3","CJ 25","Forschungsdokumentationen",""
"3","CJ 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"3","CJ 35","Zeitschriften",""
"3","CJ 40","Gesamtdarstellungen,",""
"3","CJ 50","Einführende Texte. Lehrbücher",""
"3","CJ 100","Allgemeines,",""
"3","CJ 200","Soziolinguistik",""
"4","CJ 210","Allgemeines",""
"4","CJ 220","Geschichte",""
"4","CJ 230","Diglossie",""
"4","CJ 240","Varietäten (soziale/regionale)",""
"3","CJ 300","Sprachen und Politik. Glottopolitik",""
"4","CJ 310","Allgemeines",""
"4","CJ 320","Geschichte",""
"3","CJ 400","Sprachnormen. Sprachnormierung",""
"3","CJ 500","Sprache und Geschlecht. Feministische Linguistik",""
"3","CJ 600","Sprachkontakt. Pidgins and Creoles. Interkulturelle Kommunikation",""
"3","CJ 700","Nonverbale Kommunikation",""
"3","CJ 800","Schriftlichkeit und Mündlichkeit",""
"3","CJ 900","Lexikographie",""
"2","CK","Angewandte Sprachwissenschaft",""
"3","CK 10","Handbücher",""
"3","CK 20","Spezielle Bibliographien",""
"3","CK 25","Forschungsdokumentationen",""
"3","CK 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"3","CK 35","Zeitschriften",""
"3","CK 40","Gesamtdarstellungen,",""
"3","CK 100","Allgemeines",""
"3","CK 200","Sprachdidaktik. Gesteuerter Erstspracherwerb. Gesteuerter Zweitspracherwerb",""
"3","CK 300-","Rhetorik",""
"4","CK 300","Allgemeines",""
"4","CK 305","Geschichte",""
"4","CK 310","Einzelne Tropen",""
"4","CK 325","Metapher",""
"4","CK 327","Argumentation. Argumentationsanalyse",""
"4","CK 330","Sonstige",""
"3","CK 400","Stilistik",""
"3","CK 500","Übersetzung",""
"3","CK 550","Maschinelle Übersetzung",""
"3","CK 600","Mathematische Linguistik. Computerlinguistik",""
"4","CK 610","Allgemeines",""
"4","CK 620","Sprachstatistik",""
"4","CK 630","Mathematische Linguistik",""
"3","CK 640-","Computerlinguistik. Linguistische Datenverarbeitung",""
"4","CK 640","Allgemeines",""
"4","CK 642","Ling. DV und Phonologie",""
"4","CK 643","Ling. DV und Morphologie",""
"4","CK 644","Ling. DV und Lexikon",""
"4","CK 645","Ling. DV und Syntax",""
"4","CK 646","Ling. DV und Semantik, Pragmatik. Inhaltserschließung von Massendaten",""
"4","CK 648","Computer-Mensch-Dialog",""
"4","CK 649","Ling. DV und FreMEsprachendidaktik",""
"4","CK 650","Sonstiges",""
"3","CK 700-","Fachsprachen",""
"4","CK 700","Allgemeines",""
"4","CK 720","Geschichte",""
"4","CK 730","Terminologie",""
"4","CK 740","Textlinguistik",""
"4","CK 750","Lexik",""
"3","CK 800","Forensische Linguistik",""
"3","CK 900","Kommunikation im Internet",""
"1","CL - CY","Allgemeine Literaturwissenschaft",""
"2","CL","Allgemeines zur Allgemeinen Literaturwissenschaft",""
"3","CL 10","Handbücher",""
"3","CL 20","Spezielle Bibliographien",""
"3","CL 25","Forschungsdokumentationen",""
"3","CL 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"3","CL 35","Zeitschriften",""
"3","CL 40","Gesamtdarstellungen",""
"3","CL 50","Einführende Texte. Lehrbücher",""
"2","CM","Literaturwissenschaft und andere Wissenschaften",""
"3","CM 10","Handbücher",""
"3","CM 20","Spezielle Bibliographien",""
"3","CM 25","Forschungsdokumentationen",""
"3","CM 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"3","CM 35","Zeitschriften",""
"3","CM 40","Gesamtdarstellungen",""
"3","CM 50","Einführende Texte. Lehrbücher.",""
"3","CM 100","Allgemeines",""
"3","CM 200-","Literaturwissenschaft und Sozialwissenschaften",""
"4","CM 200","Allgemeines",""
"4","CM 220","Literaturpsychologie",""
"4","CM 240","Literatur und Historische Psychologie, Mentalitäts- und Ideenwandel, Sozialpsychologie",""
"4","CM 250","Literatur und Psychoanalyse",""
"4","CM 260","Literatursoziologie",""
"4","CM 280","Literatur und einzelne soziale bzw. politische Phänomene",""
"3","CM 300","Literaturwissenschaft und Geschichtswissenschaften",""
"3","CM 400","Literaturwissenschaft und Theologie",""
"3","CM 500","Literaturwissenschaft und Mythologie",""
"3","CM 600","Literaturwissenschaft und Ethnologie",""
"3","CM 700","Literaturwissenschaft und Kunstwissenschaften",""
"3","CM 800","Literaturwissenschaft und Philosophie",""
"3","CM 900","Literaturwissenschaft und andere Wissenschaften",""
"2","CN","Geschichte der Allgemeinen Literaturwissenschaft",""
"3","CN 10","Handbücher",""
"3","CN 20","Spezielle Bibliographien",""
"3","CN 25","Forschungsdokumentationen",""
"3","CN 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"3","CN 35","Zeitschriften",""
"3","CN 40","Gesamtdarstellungen",""
"3","CN 50","Einführende Texte. Lehrbücher.",""
"3","CN 100","Allgemeines",""
"3","CN 200","Antike bis einschließlich des 17. Jahrhunderts",""
"3","CN 400","18. Jahrhundert",""
"3","CN 500","19. Jahrhundert",""
"3","CN 600-","20. Jahrhundert",""
"4","CN 600","Allgemeines",""
"4","CN 620","Strukturalismus",""
"4","CN 630","Marxismus",""
"4","CN 690","Sonstiges",""
"2","CO","Theorien und Methoden der Allgemeinen Literaturwissenschaft",""
"3","CO 10","Handbücher",""
"3","CO 20","Spezielle Bibliographien",""
"3","CO 25","Forschungsdokumentationen",""
"3","CO 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"3","CO 35","Zeitschriften",""
"3","CO 40","Gesamtdarstellungen",""
"3","CO 50","Einführende Texte. Lehrbücher.",""
"3","CO 100","Allgemeines",""
"3","CO 200","Theorie und Aufgabe der Literaturwissenschaft",""
"3","CO 300-","Methodenlehre",""
"4","CO 300","Allgemeines",""
"4","CO 310","Methodendiskussion",""
"4","CO 320","Textkritik",""
"4","CO 330","Hermeneutik",""
"4","CO 340","Literatursoziologische Methoden",""
"4","CO 350","Textimmanente Literaturwissenschaft",""
"4","CO 360","Positivismus",""
"4","CO 365","Strukturale Literaturwissenschaft",""
"4","CO 370","Feministische Literaturwissenschaft",""
"4","CO 380","Personale bzw. biographische Literaturwissenschaft",""
"4","CO 390","Empirische Literaturwissenschaft.",""
"4","CO 395","Dekonstruktion.",""
"3","CO 400","Literatur und Philosophie",""
"3","CO 450","Literatur und Künste",""
"3","CO 460","Literatur und Medien.",""
"3","CO 500-","Ästhetik. Poetik",""
"4","CO 500","Allgemeines",""
"4","CO 510","Ästhetische Theorien und Poetiken",""
"4","CO 520","Geschichte der Ästhetik und Poetik",""
"4","CO 530","Gattungsproblematik. Gattungstheorie",""
"4","CO 560","Narrativik. Erzähltextanalyse",""
"4","CO 570","Metrik",""
"4","CO 580","Stilistik",""
"4","CO 590","Einzelfragen der Ästhetik und Poetik",""
"3","CO 600-","Gattungen",""
"4","CO 600","Allgemeines",""
"4","CO 620","Epik",""
"4","CO 630","Epos",""
"4","CO 640","Roman",""
"4","CO 680","Narrativik. Erzähltextanalyse",""
"4","CO 700","Dramatik",""
"4","CO 750","Lyrik",""
"3","CO 780","Metrik",""
"3","CO 800","Stilistik",""
"3","CO 900","Rhetorik",""
"2","CP","Vergleichende Literaturwissenschaft",""
"3","CP 10","Handbücher",""
"3","CP 20","Spezielle Bibliographien",""
"3","CP 25","Forschungsdokumentationen",""
"3","CP 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"3","CP 35","Zeitschriften",""
"3","CP 40","Gesamtdarstellungen",""
"3","CP 50","Einführende Texte. Lehrbücher.",""
"3","CP 100","Theorie der Komparatistik",""
"3","CP 400","Weltliteratur und Nationalliteratur",""
"3","CP 450","Vergleich einzelner Nationalliteraturen",""
"3","CP 500","Beziehungen bzw. Einwirkungen einzelner Nationalliteraturen auf andere Nationalliteraturen und einzelne Autoren",""
"3","CP 600","Einwirkungen einzelner Autoren auf andere Nationalliteraturen und einzelne Autoren",""
"3","CP 700","Vergleich einzelner Autoren bzw. Werke verschiedener Nationalliteraturen",""
"3","CP 800","Geschichte und Probleme der literarischen Übersetzung",""
"3","CP 900","Vergleichende Poetik.",""
"2","CR","Allgemeine Literaturgeschichte",""
"3","CR 10","Handbücher",""
"3","CR 20","Spezielle Bibliographien",""
"3","CR 25","Forschungsdokumentationen",""
"3","CR 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"3","CR 35","Zeitschriften",""
"3","CR 40","Gesamtdarstellungen",""
"3","CR 50","Einführende Texte. Lehrbücher.",""
"3","CR 200-","Themen-, Stoff- und Motivforschung",""
"4","CR 200","Allgemeines",""
"4","CR 220","Antike Themen, Stoffe und Motive",""
"4","CR 240","Mittelalterliche Themen, Stoffe und Motive",""
"4","CR 260","Neuzeitliche Themen, Stoffe und Motive",""
"3","CR 300","Darstellungen einzelner Themen, Stoffe und Motive",""
"4","CR 310","Naturdichtung",""
"4","CR 315","Hirtendichtung und Verwandtes",""
"4","CR 320","Heimatliteratur",""
"4","CR 325","Exotismus, Orientalismus",""
"4","CR 330","Phantastische Literatur. Mystery",""
"4","CR 335","Science Fiction",""
"4","CR 338","Utopie",""
"4","CR 340","Liebesliteratur",""
"4","CR 348","Pornographische Literatur",""
"4","CR 350","Kriminalliteratur",""
"4","CR 360","Fälschungen",""
"4","CR 365","Schlüsselliteratur",""
