notation,prefLabel,scopeNote,level
AJCR,Photographic reportage,,4
AJCX,Erotic & nude photography,,4
AJG,Photographic equipment & techniques,"For digital cameras and photography, use AJG plus UDP “Digital photography: consumer/user guides”",3
AJR,Special kinds of photography,"Note: for holography, see AFKV “Electronic, holographic & video art” for art aspects; TTBL “Laser technology & holography” for technical works; WDJ “3-D images & optical illusions” for popular works",3
AJRD,"Cinematography, television camerawork",See also; APTX “Television production: technical and background skills”,4
AJRH,Video photography,"See also: AFKV “Electronic, holographic and video art”",4
AJRK,Aerial photography,,4
AK,Industrial / commercial art & design,"Use AK* codes with codes from AC “History of art / Art and design styles” where appropriate. Note: for Computer-aided design, use UGC “Computer-aided design (CAD)”. For interior design, use AMR “Professional interior design” or WJK “Interior design, decor and style guides” for general works",2
AKB,Individual designers,,3
AKC,Graphic design,,3
AKD,Typography & lettering,,3
AKH,Book design,,3
AKL,Illustration & commercial art,,3
AKLB,Illustration,,4
AKLC,Comic book & cartoon art,,4
AKLC1,Graphic novel & Manga artwork,,5
AKLP,Poster art,,4
AKP,Product design,See also: TBD “Technical design”,3
AKR,Furniture design,,3
AKT,Fashion & textiles: design,,3
AKTA,Fashion design & theory,,4
AKTH,History of fashion,See also: JFCK “Fashion and society”,4
AKTX,Textile design & theory,,4
AM,Architecture,,2
AMA,Theory of architecture,,3
AMB,Individual architects & architectural firms,Use AMB with codes from AC “History of Art / Art and design styles” denoting style or period where appropriate,3
AMC,Architectural structure & design,,3
AMCR,Environmentally-friendly architecture & design,,4
AMD,Architecture: professional practice,,3
AMG,"Public buildings: civic, commercial, industrial, etc",,3
AMGC,"Concert halls, arenas, stadia",,4
AMGD,"Memorials, monuments",See also: JWTY “Memorials and rolls of honour” for military aspects,4
AMK,"Residential buildings, domestic buildings",,3
AMKD,"Houses, apartments, flats, etc",,4
AMKH,"Palaces, chateaux, country houses",,4
AMKL,Castles & fortifications,,4
AMN,Religious buildings,,3
AMR,Professional interior design,"See also: WJK “Interior design, decor and style guides” for general reader",3
AMV,Landscape art & architecture,,3
AMVD,City & town planning - architectural aspects,See also: RPC “Urban and municipal planning”,4
AMX,History of architecture,Use AMX with codes from AC “History of Art / Art and design styles” denoting style or period where appropriate,3
AN,Theatre studies,"Note: for musical theatre, use AVGM “Musicals”; for playscripts and drama texts, use DD “Plays, playscripts”; for Shakespeare plays, use DDS “Shakespeare plays”",2
ANB,Theatre: individual actors & directors,"See also: APB “Individual actors and performers” for film, TV and radio actors. Use both ANB and APB where appropriate. See also: BGF “Biography: arts and entertainment”; BGFA “Autobiography: arts and entertainment”",3
ANC,Acting techniques,"Class here: monologues, audition material, etc",3
ANF,Theatre direction & production,,3
ANH,Theatre: technical & background skills,"Class here: stagecraft, wardrobe and makeup, lighting, scenery, etc",3
ANS,Theatre management,,3
AP,"Film, TV & radio","Note: use AP* codes for performing arts aspects only; for media studies aspects, see JFD* codes; for film, TV and radio industries, see KNT* codes",2
APB,Individual actors & performers,"Use with relevant AP* code to indicate whether film, TV or radio or all. See also: ANB “Theatre: individual actors and directors”. See also: BGF “Biography: arts and entertainment”; BGFA “Autobiography: arts and entertainment”",3
APF,"Films, cinema",See also: KNTC “Cinema industry”,3
APFA,Film theory & criticism,,4
APFB,"Individual film directors, film-makers",,4
APFD,Film scripts & screenplays,,4
APFG,Film guides & reviews,,4
APFN,Film: styles & genres,"Class here: works on specific genres, eg Film Noir, Westerns, Horror films, etc",4
APFR,Documentary films,,4
APFV,Animated films,,4
APFX,Film production: technical & background skills,"See also: AJRD “Cinematography, television camerawork”",4
APT,Television,See also: KNTD “Radio and television industry”,3
APTD,Television scripts & screenplays,Use with/See also: WHG “TV-tie in humour” where appropriate,4
APTS,Television soap operas,,4
APTX,Television production: technical & background skills,"See also: AJRD “Cinematography, television camerawork”",4
APW,Radio,See also: KNTD “Radio and television industry”,3
APWD,Radio scripts,Use with WH “Humour” where appropriate,4
AS,Dance & other performing arts,,2
ASD,Dance,,3
ASDC,Choreography,,4
ASDL,Ballet,,4
ASDR,Ballroom dancing,,4
ASDT,Contemporary dance,,4
ASDX,Folk dancing,,4
ASZ,Other performing arts,,3
ASZB,Performing arts: comedy,,4
ASZC,Mime,,4
ASZD,Street theatre,,4
ASZG,Conjuring & magic,,4
ASZH,"Variety shows, music hall, cabaret",,4
ASZJ,Juggling,,4
ASZM,"Puppetry, miniature & toy theatre",,4
ASZP,"Pageants, parades, festivals",,4
ASZW,Circus,,4
ASZX,Animal spectacles,"Class here: rodeo, bullfights, performing animals, etc",4
AV,Music,,2
AVA,Theory of music & musicology,,3
AVC,Music reviews & criticism,,3
AVD,Discographies & buyer's guides,,3
AVG,Music: styles & genres,,3
AVGC,"Western ""classical"" music",,4
AVGC1,Early music (up to c 1000 CE),,5
AVGC2,Medieval & Renaissance music (c 1000 to c 1600),,5
AVGC3,Baroque music (c 1600 to c 1750),,5
AVGC4,Classical music (c 1750 to c 1830),,5
AVGC5,Romantic music (c 1830 to c 1900),,5
AVGC6,20th century & contemporary classical music,,5
AVGC8,Choral music,,5
AVGC9,Opera,,5
AVGD,Sacred & religious music,,4
AVGE,"Non-Western music: traditional & ""classical""",,4
AVGF,Light orchestral & big band music,,4
AVGG,"Brass band, military music & marches",,4
AVGH,Folk & traditional music,,4
AVGJ,Jazz,,4
AVGK,Blues,,4
AVGL,Country & Western music,Class here: Bluegrass,4
AVGM,Musicals,,4
AVGN,"Popular music, easy listening",,4
AVGP,Rock & Pop music,Class here: Rock ’n’ Roll,4
AVGQ,Soul & R 'n' B,,4
AVGR,Rap & Hip-Hop,,4
AVGS,Reggae,,4
AVGT,Heavy Metal music,,4
AVGU,"Punk, New Wave & Indie",,4
AVGV,Electronic music,,4
AVGW,World music,,4
AVGZ,Ambient & New Age music,,4
AVH,"Individual composers & musicians, specific bands & groups",,3
AVQ,"Musical scores, lyrics & libretti",,3
AVQS,Songbooks,"Class here: songs for easy piano, guitar, etc",4
AVR,Musical instruments & instrumental ensembles,"Note: for collectable instruments, see WC “Antiques and collectables” and following",3
AVRB,Orchestras,,4
AVRD,Chamber ensembles,,4
AVRG,Keyboard instruments,,4
AVRJ,Percussion instruments,,4
AVRL,String instruments,,4
AVRL1,Guitar,,5
AVRN,Wind instruments,,4
AVRQ,Mechanical musical instruments,,4
AVRS,Electronic musical instruments,,4
AVS,Techniques of music / music tutorials,Note: use for learning an instrument,3
AVX,Music recording & reproduction,"See also: UDM “Digital music: consumer/user guides etc”; TTA “Acoustic and sound engineering”. For the recorded music industry, use KNTF “Music industry”",3
B,Biography & True Stories,Do not use “B” on individual books; select appropriate code(s) from Section B below,1
BG,Biography: general,"Note: with BG* codes, assign also a specific subject code where possible, eg AVGJ “Jazz”, WSJG “Golf”, etc",2
BGA,Autobiography: general,,3
BGB,Biography: business & industry,,3
BGBA,Autobiography: business & industry,,4
BGF,Biography: arts & entertainment,Class here: “celebrity biographies”,3
BGFA,Autobiography: arts & entertainment,Class here: “celebrity autobiographies”,4
BGH,"Biography: historical, political & military",,3
BGHA,"Autobiography: historical, political & military",,4
BGL,Biography: literary,,3
BGLA,Autobiography: literary,,4
BGR,Biography: royalty,,3
BGRA,Autobiography: royalty,,4
BGS,Biography: sport,,3
BGSA,Autobiography: sport,,4
BGT,"Biography: science, technology & medicine",,3
BGTA,"Autobiography: science, technology & medicine",,4
BGX,Biography: religious & spiritual,,3
BGXA,Autobiography: religious & spiritual,,4
BJ,"Diaries, letters & journals","Note: use where diary or journal entries, or letters, are collected, rather than the work being written specifically as an autobiography. Use with an autobiography code from the BG sequence above to indicate area, eg for Samuel Pepys’ Diary use BGHA “Autobiography: historical, political and military” and BJ",2
BK,Collected biographies,Use BK for biographies of several people in single book; use after appropriate BG* code where possible,2
BM,Memoirs,"Note: Memoirs are typically less structured and less encompassing than entire autobiographies. They are often about part of a life, eg childhood, and often about a public part of one’s life, eg a politician’s time in office, rather than one’s whole life. Use with an autobiography code from the BG sequence above to indicate area",2
BT,True stories,,2
BTC,True crime,,3
BTH,True stories: discovery / historical / scientific,,3
BTM,True war  & combat stories,,3
BTP,"True stories of heroism, endurance & survival",,3
BTX,Erotic confessions & true stories,,3
C,Language,Do not use “C” on individual books; select appropriate code(s) from Section C below,1
CB,Language: reference & general,"Note: with CB* codes, assign also the appropriate Language qualifier, where possible",2
CBD,Dictionaries,See also: EBD “ELT dictionaries and reference”,3
CBDX,Bilingual & multilingual dictionaries,,4
CBF,Thesauri,,3
CBG,Usage & grammar guides,,3
CBP,Public speaking guides,,3
CBV,Creative writing & creative writing guides,,3
CBVS,Screenwriting techniques,,4
CBW,Writing & editing guides,,3
CBWJ,Journalistic style guides,,4
CBWT,Technical writing,,4
CBX,Language: history & general works,,3
CF,linguistics,"Note: with CF* codes, assign also the appropriate Language qualifier, where possible. Reserve CF* codes for use with academic and specialist works only. Note: for semiotics / semiology, use GTE “Semiotics / semiology”",2
CFA,Philosophy of language,,3
CFB,Sociolinguistics,,3
CFC,Literacy,See also: JNFD “Literacy strategies”; VSL “Adult literacy guides and handbooks”,3
CFD,Psycholinguistics,,3
CFDC,Language acquisition,,4
CFDM,Bilingualism & multilingualism,,4
CFF,Historical & comparative linguistics,"Class here: etymology, language family studies. See also: CBX “Language: history and general works” for popular treatments",3
CFFD,"Dialect, slang & jargon","See also: WHL for humorous books of dialect and slang, etc",4
CFG,"Semantics, discourse analysis, etc",,3
CFGA,Semantics & pragmatics,Class here: lexicology,4
CFGR,Discourse analysis,"Class here: critical discourse analysis, stylistics, rhetoric",4
CFH,"Phonetics, phonology",,3
CFK,"Grammar, syntax & morphology",,3
CFL,Palaeography (history of writing),,3
CFLA,"Writing systems, alphabets",,4
CFM,Lexicography,,3
CFP,Translation & interpretation,Class here: hermeneutics,3
CFX,Computational linguistics,,3
CFZ,"Sign languages, Braille & other linguistic communication",,3
CJ,Language teaching & learning (other than ELT),"Note: use CJ* codes for teaching / learning material for all languages and for English as a first language. Always assign Language qualifier. Do not use for English as a second language, ELT, TEFL etc – see Section E",2
CJA,Language teaching theory & methods,,3
CJB,Language teaching & learning material & coursework,,3
CJBG,Grammar & vocabulary,,4
CJBR,Language readers,,4
CJBT,Language self-study texts,See also: WTK “Language phrasebooks”,4
CJBV,Language learning: audio-visual & multimedia,,4
CJC,Language learning: specific skills,,3
CJCK,Speaking / pronunciation skills,,4
CJCL,Listening skills,,4
CJCR,Reading skills,,4
CJCW,Writing skills,,4
D,Literature & literary studies,Do not use “D” on individual books; select appropriate code(s) from Section D below,1
DB,Classical texts,"Use DB for all classical Greek and Latin texts, ideally with other D* code indicating literary form",2
DC,Poetry,,2
DCF,Poetry by individual poets,,3
DCQ,Poetry anthologies (various poets),,3
DD,"Plays, playscripts",See also: APFD “Film scripts and screenplays”; APDT “TV scripts and screenplays”; APWD “Radio scripts”,2
DDS,Shakespeare plays,,3
DN,Prose: non-fiction,,2
DNF,Literary essays,"Note: use only for essays, typically on various subjects, by notable writers. Class essays on a subject, eg philosophy, within the subject. See also: BJ “Diaries, letters and journals”",3
DNJ,Reportage & collected journalism,,3
DNS,Speeches,Use for all collections of transcribed speeches; use with other code indicating subject where applicable. See also: HRCP “Christian sermons”,3
DQ,Anthologies (non-poetry),Use for all anthologies except poetry anthologies (see DCQ “Poetry anthologies (various poets)”); use with other code indicating subject or literary form as appropriate,2
DS,Literature: history & criticism,"Note: with DS* codes, assign also the appropriate Language qualifier, where possible. For A/AS Level literary study and revision guides, add 4KLR “A/AS Level study and revision guides”",2
DSA,Literary theory,,3
DSB,Literary studies: general,,3
DSBB,"Literary studies: classical, early & medieval",,4
DSBD,Literary studies: c 1500 to c 1800,,4
DSBF,Literary studies: c 1800 to c 1900 ,,4
DSBH,Literary studies: from c 1900 -,,4
DSBH5,Literary studies: post-colonial literature,,5
DSC,Literary studies: poetry & poets,,3
DSG,Literary studies: plays & playwrights,,3
DSGS,Shakespeare studies & criticism,,4
DSK,"Literary studies: fiction, novelists & prose writers",,3
DSR,Literary reference works,,3
DSRC,"Literary companions, book reviews & guides",See also: FZC “Fiction companions”,4
DSY,Children’s & teenage literature studies,,3
DSYC,Children’s & teenage book reviews & guides,"Use for general guides for parents, teachers, librarians, etc",4
E,English language teaching (ELT),"Note: use E* codes only for works specifically designed for the teaching and learning of English as a foreign or second language; includes TEFL, ESL, TOEFL, IELTS, TOIEC. Use for both Adult and Children’s material. Language qualifier required only if specific variant of English is indicated, eg American English, or for bi-lingual texts/dictionaries, eg English/Spanish. With E* codes, use appropriate Educational Purpose qualifier indicating examination / qualification wherever possible. Do not use “E” on individual books; select appropriate code(s) from Section E below",1
EB,ELT background & reference material,,2
EBA,ELT: teaching theory & methods,,3
EBAL,Applied linguistics for ELT,,4
EBAR,ELT resource books for teachers,,4
EBD,ELT dictionaries & reference,,3
EL,ELT: learning material & coursework,,2
ELG,"ELT grammar, vocabulary & pronunciation",,3
ELGG,ELT grammar,,4
ELGP,ELT pronunciation,,4
ELGV  ,ELT vocabulary,,6
ELH,ELT graded readers,,3
ELHB,ELT non-fiction & background readers,,4
ELHF,ELT literature & fiction readers,,4
ELM,ELT non-book material & resources,"Class here: flashcards, audio-visual, software, etc",3
ELP,"ELT workbooks, practice books & exercises",,3
ELS,ELT self-study texts,,3
ELV,ELT examination practice tests,,3
ELX,ELT: specific skills,,3
ELXD,ELT: speaking skills,"For pronunciation skills, use ELGP “ELT Pronunciation”",4
ELXG,ELT: listening skills,,4
ELXJ,ELT: reading skills,,4
ELXN,ELT: writing skills,,4
ES,ELT: English for specific purposes,,2
ESB,ELT: English for business,,3
ESF,ELT: English for academic purposes,,3
EST,ELT: English for technical & scientific purposes,,3
ESV,ELT: English for travel & communications,,3
F,Fiction & related items,"Do not use “F” on individual books; select appropriate detailed code(s) from Section F; For fiction anthologies, use DQ “Anthologies” with appropriate F* code to indicate genre where appropriate",1
FA,Modern & contemporary fiction (post c 1945),Note: use for non-genre fiction first published c. 1945 onwards,2
FC,Classic fiction (pre c 1945),Note: use for all non-genre fiction first published before c. 1945; see also “classic” headings for genre fiction below,2
FF,Crime & mystery,,2
FFC,Classic crime,"Class here: crime fiction published before c. 1950  eg Conan Doyle, Christie, Sayers, etc",3
FFH,Historical mysteries,"Note: use for contemporary mysteries set in past times, eg in Victorian, Medieval, Roman period",3
FH,Thriller / suspense,,2
FHD,Espionage & spy thriller,,3
FHP,Political / legal thriller,"Note: eg John Grisham, Scott Turow",3
FJ,Adventure,,2
FJH,Historical adventure,"Note: use for adventure novels set in the past, ie set c. pre-1900, eg Napoleonic period)",3
FJM,War & combat fiction,,3
FJMC,Napoleonic War fiction,,4
FJMF,First World War fiction,,4
FJMS,Second World War fiction,,4
FJMV,Vietnam War fiction,,4
FJW,Westerns,,3
FK,Horror & ghost stories,,2
FKC,Classic horror & ghost stories,"Note: use for 19th and early 20th century writers, eg Le Fanu, M. R. James, Poe, etc",3
FL,Science fiction,,2
FLC,Classic science fiction,"Note: use for SF published up to c. 1960s, eg H. G Wells, Asimov, Wyndham, etc",3
FLS,Space opera,"Note: use for TV/film series-based novels, eg Star Trek and Star Wars fiction",3
FM,Fantasy,,2
FMR,Fantasy romance,"Class here: ‘dark romance’, vampire romance, etc. See also: YFHR “Fantasy romance (teenage)”",3
FP,Erotic fiction,,2
FQ,Myth & legend told as fiction,"See also: JFHF “Folklore, myths and legends”",2
FR,Romance,,2
FRD,Adult & contemporary romance,,3
FRH,Historical romance,"Note: use for romantic fiction set c. pre-1900, eg Regency period",3
FT,Sagas,"Note: includes family sagas. For eg Norse sagas, see FQ “Myth and legend told as fiction”; HRKP “Ancient religions and mythologies”; JFHF “Folklore, myths and legends”",2
FV,Historical fiction,"Note: use for contemporary novels set in the past, ie set c. pre-1900, regardless of genre, except prefer FFH for mysteries set in the past; similarly, prefer FJH for adventures and FRH for romances set in the past",2
FW,Religious & spiritual fiction,Note: use for fiction designed to promote a particular religious or spiritual message; use with appropriate HR* or VX* code,2
FX,Graphic novels,See also: FZG “Graphic novels: history and criticism” for general background and companion works,2
FXA,Graphic novels: Manga,,3
FXL,Graphic novels: literary & memoirs,,3
FXS,Graphic novels: superheroes & super-villains,,3
FXZ,Graphic novels: true stories & non-fiction,,3
FY,Fiction: special features,,2
FYB,Short stories,,3
FYT,Fiction in translation,,3
FZ,Fiction-related items,,2
FZC,Fiction companions,"Class here: companion works to popular fiction such as Da Vinci Code, Lord of the Rings, etc. See DS* codes for literary criticism, literary companions and literary study and revision guides",3
FZG,Graphic novels: history & criticism,"See also: AKLC1 ""Graphic novel and Manga artwork"" for works solely concerned with artistic aspects",3
G,"Reference, information & interdisciplinary subjects",Do not use “G” on individual books; select appropriate code(s) from Section G below,1
GB,Encyclopaedias & reference works,,2
GBA,General encyclopaedias,"Note: use for non-subject-specific works only; for subject-specific reference works, use GBC* codes below",3
GBC,Reference works,"Note: with GBC* codes, assign also a subject code relating to the area or scope of the reference work where appropriate. For literary reference works, see DSR “Literary reference works” and following; for language reference and dictionaries, see CD “Language: reference and general” and following",3
GBCB,Dictionaries of biography (Who's Who),,4
GBCQ,Dictionaries of quotations,,4
GBCR,"Bibliographies, catalogues",See also: AVD “Discographies and buyer’s guides”,4
GBCS,"Serials, periodicals, abstracts, indexes",,4
GBCT,Directories,,4
GBCY,"Yearbooks, annuals, almanacs",,4
GBG,Geographical reference,,3
GBGM,World atlases / world maps,Class here: globes. See also: RGS “Geographical maps (specialist)”; WTR “Travel maps and atlases” and following,4
GBGP,Place names & gazetteers,,4
GL,Library & information sciences,,2
GLC,"Library, archive & information management",,3
GLF,"IT, Internet & electronic resources in libraries",,3
GLH,Acquisitions & collection development,,3
GLK,Bibliographic & subject control,"Class here: indexing, cataloguing and classification",3
GLM,Library & information services,,3
GLMA,Academic & specialist libraries ,,4
GLMB,Public libraries,,4
GLMC,School libraries & young reader services  ,,4
GLMG,Reference services,,4
GLML,Circulation services (eg interlibrary loans),,4
GLMX,Community & outreach services,,4
GLP,"Archiving, preservation & digitisation ",,3
GM,Museology & heritage studies,"Note: for museums devoted to a particular subject, assign also the code for the subject. Class here: museum studies; curatorship; heritage interpretation; historical conservation of culturally and socially significant sites, buildings, monuments, etc. See also: ABC “Conservation, restoration and care of artworks”; RNK “Conservation of the environment”; TNKX “Conservation of buildings and building materials”; WHTM “Museum, historic sites, gallery and art guides”",2
GP,Research & information: general,,2
GPF,Information theory,,3
GPFC,Cybernetics & systems theory,"Class here: control and stability of systems, entropy",4
GPH,Data analysis: general,,3
GPJ,Coding theory & cryptology,,3
GPQ,Decision theory: general,See also: KJMD “Management decision making”,3
GPQD,Risk assessment,,4
GPS,Research methods: general,See also: JHBC “Social research and statistics”; KJT “Operational research”,3
GT,Interdisciplinary studies,,2
GTB,Regional studies,Use GTB only for interdisciplinary works covering a range of topics within a defined area; always add a Geographical qualifier. See also: RGL “Regional geography”,3
GTC,Communication studies,"Use GTC for Communication Studies textbooks and for works covering a range of aspects of communication – linguistic, social, industrial, technological etc. See also: JFD “Media studies” and following",3
GTE,Semiotics / semiology,,3
GTF,Development studies,,3
GTG,General studies,eg for A level,3
GTH,"Flags, emblems, symbols, logos","Use for general works; see GTE for specialist works on semiotics/semiology; for heraldry, use HBTG “Genealogy, heraldry, names and honours”",3
GTJ,Peace studies & conflict resolution,,3
GTN,Institutions & learned societies: general,See also: JPSN “International institutions”; KJU “Organizational theory and behaviour”,3
GTR,Cognitive science,"Use for interdisciplinary works drawing on but wider than psychology, neurosciences, philosophy of mind, AI, etc. See also: HPM “Philosophy of mind”; JM “Psychology” and following; PSAN “Neurosciences”; UYQ “Artificial intelligence” and following",3
H,Humanities,,1
HB,History,"Note: do not use “HB” on individual books. For all HB* codes, assign also more specific Geographical and Time Period qualifiers where possible",2
HBA,History: theory & methods,,3
HBAH,Historiography,,4
HBG,General & world history,,3
HBJ,Regional & national history,"Note: with all HBJ* codes, also assign appropriate HBL* code and specific Geographical qualifiers where possible",3
HBJD,European history,,4
HBJD1,British & Irish history,,5
HBJF,Asian history,,4
HBJF1,Middle Eastern history,,5
HBJH,African history,,4
HBJK,History of the Americas,,4
HBJM,Australasian & Pacific history,,4
HBJQ,History of other lands,,4
HBL,History: earliest times to present day,"Note: with all HBL* codes, also assign HBG or HBJ* code as appropriate",3
HBLA,Ancient history: to c 500 CE,,4
HBLA1,Classical history / classical civilisation,,5
HBLC,Early history: c 500 to c 1450/1500,,4
HBLC1,Medieval history,,5
HBLH,Early modern history: c 1450/1500 to c 1700,"Class here: Renaissance, Reformation",4
HBLL,Modern history to 20th century: c 1700 to c 1900,,4
HBLW,20th century history: c 1900  to c 2000,,4
HBLW3,"Postwar 20th century history, from c 1945 to c 2000",,5
HBLX,21st century history: from c 2000 -,,4
HBT,History: specific events & topics,"For corporate histories, use KJZ “History of specific companies / corporate history”; for economic history, use KCZ “Economic history”; for history of architecture, use AMX “History of architecture”; for history of art, see AC “History of art / Art & design styles” and following; for history of education, use JNB “History of education”; fo history of engineering and technology, use TBX “History of engineering and technology”; for history of ideas, use JFCX “History of ideas”; for history of law, use LAZ “Legal history”; for history of medicine, use MBX “History of medicine”; for history of philosophy, see HPC “History of Western philosophy” and following; for history of religion, see HRAX “History of religion” and HRCC2 “Church history”; for history of science, use PDX “History of science”; for history of sport, use WSBX “History of sport”; for local history, use WQH “Local history”",3
HBTB,Social & cultural history,,4
HBTD,Oral history,,4
HBTG,"Genealogy, heraldry, names & honours","See also: WQY “Family history, tracing ancestors”; VFXB1 “Baby names”; for flags, use GTH “Flags, emblems, symbols, logos”",4
HBTK,Industrialisation & industrial history,,4
HBTM,Maritime history,,4
HBTP,Historical geography,,4
HBTP1,Historical maps & atlases,,5
HBTQ,Colonialism & imperialism,,4
HBTR,"National liberation & independence, post-colonialism",,4
HBTS,Slavery & abolition of slavery,Class here: Slave trade,4
HBTV,"Revolutions, uprisings, rebellions",See also: JPWQ “Revolutionary groups and movements”,4
HBTV2,French Revolution,,5
HBTV4,Russian Revolution,,5
HBTW,The Cold War,,4
HBTZ,Genocide & ethnic cleansing,,4
HBTZ1,The Holocaust,,5
HBW,Military history,See also: JW “Warfare and defence” and following,3
HBWC,Crusades,,4
HBWE,English Civil War,,4
HBWF,American War of Independence,,4
HBWH,Napoleonic Wars,,4
HBWJ,American Civil War,,4
HBWL,Crimean War,,4
HBWM,Boer Wars,,4
HBWN,First World War,,4
HBWP,Spanish Civil War,,4
HBWQ,Second World War,,4
HBWS,Military history: post WW2 conflicts,,4
HBWS1,Korean War,,5
HBWS2,Vietnam War,,5
HBWS3,Gulf War,,5
HBWS4,Afghan War,,5
HBWS5,Iraq War,,5
HD,Archaeology,"Note: for all HD* codes, also assign more specific Geographical and Time Period qualifiers where possible",2
HDA,Archaeological theory,,3
HDD,Archaeology by period / region,,3
