fromNotation,fromLabel,toNotation,toLabel
206-08,"Clinical Neurosciences I Neurology, Neurosurgery",3.2,Clinical medicine
206-09,Biological Psychiatry,3.2,Clinical medicine
206-09,Biological Psychiatry,3.1,Basic medicine
206-10,"Clinical Neurosciences II Psychiatry, Psychotherapy, Psychosomatic Medicine",3.2,Clinical medicine
206-11,Clinical Neurosciences III Ophthalmology,3.2,Clinical medicine
207,"Agriculture, Forestry, Horticulture and Veterinary Medicine",4.1,"Agriculture, forestry, and fisheries"
207-01,Soil Sciences,4.1,"Agriculture, forestry, and fisheries"
207-02,Plant Cultivation,4.1,"Agriculture, forestry, and fisheries"
207-03,Plant Nutrition,4.1,"Agriculture, forestry, and fisheries"
207-04,Ecology of Agricultural Landscapes,4.5,Other agricultural sciences
207-05,Plant Breeding,4.1,"Agriculture, forestry, and fisheries"
207-06,Phytomedicine,3.1,Basic medicine
207-07,Agricultural and Food Process Engineering,2.11,Other engineering and technologies
207-08,Agricultural Economics and Sociology,4.5,Other agricultural sciences
207-09,"Inventory, Control and Use of Forest Resources",4.1,"Agriculture, forestry, and fisheries"
207-10,Basic Forest Research,4.1,"Agriculture, forestry, and fisheries"
207-11,"Animal Husbandry, Breeding and Hygiene",4.2,Animal and dairy science
207-12,Animal Nutrition and Nutrition Physiology,4.2,Animal and dairy science
207-13,Basic Veterinary Medical Science,4.3,Veterinary science
207-14,"Basic Research on Pathogenesis, Diagnostics and Therapy and Clinical Veterinary Medicine",4.3,Veterinary science
301,Molecular Chemistry,1.4,Chemical sciences
301-01,Inorganic Molecular Chemistry,1.4,Chemical sciences
301-02,Organic Molecular Chemistry,1.4,Chemical sciences
302,Chemical Solid State and Surface Research,1.4,Chemical sciences
302-01,"Solid State and Surface Chemistry, Material Synthesis",1.4,Chemical sciences
302-01,"Solid State and Surface Chemistry, Material Synthesis",2.4,Chemical engineering
302-02,"Physical Chemistry of Solids and Surfaces, Material Characterisation",1.4,Chemical sciences
302-03,Theory and Modelling,1.4,Chemical sciences
303,Physical and Theoretical Chemistry,1.4,Chemical sciences
303-01,"Physical Chemistry of Molecules, Interfaces and Liquids Spectroscopy, Kinetics",1.4,Chemical sciences
303-02,General Theoretical Chemistry,1.4,Chemical sciences
304,"Analytical Chemistry, Method Development (Chemistry)",1.4,Chemical sciences
304-01,"Analytical Chemistry, Method Development (Chemistry)",1.4,Chemical sciences
305,Biological Chemistry and Food Chemistry,1.4,Chemical sciences
305,Biological Chemistry and Food Chemistry,1.6,Biological sciences
305-01,Biological and Biomimetic Chemistry,1.4,Chemical sciences
305-01,Biological and Biomimetic Chemistry,1.6,Biological sciences
305-02,Food Chemistry,1.4,Chemical sciences
305-02,Food Chemistry,1.6,Biological sciences
306,Polymer Research,1.4,Chemical sciences
306-01,Preparatory and Physical Chemistry of Polymers,1.4,Chemical sciences
306-02,Experimental and Theoretical Physics of Polymers,1.4,Chemical sciences
306-03,Polymer Materials,2.5,Materials engineering
306-03,Polymer Materials,1.4,Chemical sciences
307,Condensed Matter Physics,1.3,Physical sciences
307-01,Experimental Condensed Matter Physics,1.3,Physical sciences
307-02,Theoretical Condensed Matter Physics,1.3,Physical sciences
308,"Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas",1.3,Physical sciences
308-01,"Optics, Quantum Optics, Atoms, Molecules, Plasmas",1.3,Physical sciences
309,"Particles, Nuclei and Fields",1.3,Physical sciences
309-01,"Particles, Nuclei and Fields",1.3,Physical sciences
310,"Statistical Physics, Soft Matter, Biological Physics, Nonlinear Dynamics",1.3,Physical sciences
310,"Statistical Physics, Soft Matter, Biological Physics, Nonlinear Dynamics",1.4,Chemical sciences
310-01,"Statistical Physics, Soft Matter, Biological Physics, Nonlinear Dynamics",1.3,Physical sciences
310-01,"Statistical Physics, Soft Matter, Biological Physics, Nonlinear Dynamics",1.4,Chemical sciences
311,Astrophysics and Astronomy,1.3,Physical sciences
311-01,Astrophysics and Astronomy,1.3,Physical sciences
312,Mathematics,1.1,Mathematics
312-01,Mathematics,1.1,Mathematics
313,Atmospheric Science and Oceanography,1.5,Earth and related environmental sciences
313-01,Atmospheric Science,1.5,Earth and related environmental sciences
313-02,Oceanography,1.5,Earth and related environmental sciences
314,Geology and Palaeontology,1.5,Earth and related environmental sciences
314-01,Geology and Palaeontology,1.5,Earth and related environmental sciences
315,Geophysics and Geodesy,1.5,Earth and related environmental sciences
315-01,Geophysics,1.5,Earth and related environmental sciences
315-02,"Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartography",1.5,Earth and related environmental sciences
315-02,"Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartography",2.7,Environmental engineering
315-02,"Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartography",1.2,Computer and information sciences
316,"Geochemistry, Mineralogy and Crystallography",1.5,Earth and related environmental sciences
316-01,"Geochemistry, Mineralogy and Crystallography",1.5,Earth and related environmental sciences
317,Geography,1.5,Earth and related environmental sciences
317,Geography,5.7,Social and economic geography
317-01,Physical Geography,1.5,Earth and related environmental sciences
317-02,Human Geography,5.7,Social and economic geography
318,Water Research,1.5,Earth and related environmental sciences
318-01,"Hydrogeology, Hydrology, Limnology, Urban Water Management, Water Chemistry, Integrated Water Resources",1.5,Earth and related environmental sciences
401,Production Technology,2.3,Mechanical engineering
401,Production Technology,2.5,Materials engineering
401-01,MetalCutting Manufacturing Engineering,2.3,Mechanical engineering
401-02,Primary Shaping and Reshaping Technology,2.3,Mechanical engineering
401-03,"Micro, Precision, Mounting, Joining, Separation Technology",2.3,Mechanical engineering
401-04,Plastics Engineering,2.5,Materials engineering
401-05,"Production Automation, Factory Operation, Operations Management",2.3,Mechanical engineering
401-05,"Production Automation, Factory Operation, Operations Management",2.2,"Electrical engineering, Electronic engineering, Information engineering"
402,Mechanics and Constructive Mechanical Engineering,2.3,Mechanical engineering
402-01,"Construction, Machine Elements",2.3,Mechanical engineering
402-02,Mechanics,2.3,Mechanical engineering
402-03,"Lightweight Construction, Textile Technology",2.5,Materials engineering
402-04,Acoustics,2.3,Mechanical engineering
402-04,Acoustics,1.3,Physical sciences
403,"Process Engineering, Technical Chemistry",2.4,Chemical engineering
403-01,Chemical and Thermal Process Engineering,2.3,Mechanical engineering
403-01,Chemical and Thermal Process Engineering,2.4,Chemical engineering
403-02,Technical Chemistry,2.4,Chemical engineering
403-03,Mechanical Process Engineering,2.3,Mechanical engineering
403-04,Biological Process Engineering,2.9,Industrial biotechnology
404,"Heat Energy Technology, Thermal Machines, Fluid Mechanics",2.3,Mechanical engineering
404-01,Energy Process Engineering,2.3,Mechanical engineering
404-02,Technical Thermodynamics,2.3,Mechanical engineering
404-03,Fluid Mechanics,2.3,Mechanical engineering
404-04,Hydraulic and Turbo Engines and Piston Engines,2.3,Mechanical engineering
405,Materials Engineering,2.5,Materials engineering
405-01,"Metallurgical and Thermal Processes, Thermomechanical Treatment of Materials",2.5,Materials engineering
405-02,Sintered Metallic and Ceramic Materials,2.5,Materials engineering
405-03,Composite Materials,2.5,Materials engineering
405-04,Mechanical Behaviour of Construction Materials,2.5,Materials engineering
405-05,Coating and Surface Technology,2.5,Materials engineering
406,Materials Science,2.5,Materials engineering
406-01,Thermodynamics and Kinetics of Materials,2.5,Materials engineering
406-02,Synthesis and Properties of Functional Materials,2.5,Materials engineering
406-03,Microstructural Mechanical Properties of Materials,2.5,Materials engineering
406-04,Structuring and Functionalisation,2.5,Materials engineering
406-05,Biomaterials,2.9,Industrial Biotechnology
407,Systems Engineering,2.2,"Electrical engineering, electronic engineering, information engineering"
407-01,"Automation, Control Systems, Robotics, Mechatronics",2.2,"Electrical engineering, electronic engineering, information engineering"
407-02,Measurement Systems,2.2,"Electrical engineering, electronic engineering, information engineering"
407-03,Microsystems,2.2,"Electrical engineering, electronic engineering, information engineering"
407-04,"Traffic and Transport Systems, Logistics",2.1,Civil engineering
407-04,"Traffic and Transport Systems, Logistics",2.2,"Electrical engineering, electronic engineering, information engineering"
407-05,"Human Factors, Ergonomics, HumanMachine Systems",2.2,"Electrical engineering, electronic engineering, information engineering"
408,Electrical Engineering,2.2,"Electrical engineering, electronic engineering, information engineering"
408-01,"Electronic Semiconductors, Components, Circuits, Systems",2.2,"Electrical engineering, electronic engineering, information engineering"
408-02,"Communications, HighFrequency and Network Technology, Theoretical Electrical Engineering",2.2,"Electrical engineering, electronic engineering, information engineering"
408-03,"Electrical Energy Generation, Distribution, Application",2.2,"Electrical engineering, electronic engineering, information engineering"
409,Computer Science,1.2,Computer and information sciences
409,Computer Science,2.2,"Electrical engineering, electronic engineering, information engineering"
409-01,Theoretical Computer Science,1.2,Computer and information sciences
409-02,Software Technology,1.2,Computer and information sciences
409-03,"Operating, Communication and Information Systems",1.2,Computer and information sciences
409-04,"Artificial Intelligence, Image and Language Processing",1.2,Computer and information sciences
409-05,Computer Architecture and Embedded Systems,2.2,"Electrical engineering, electronic engineering, information engineering"
410,Construction Engineering and Architecture,2.1,Civil engineering
410-01,"Architecture, Building and Construction History, Sustainable Building Technology, Building Design",2.1,Civil engineering
410-02,"Urbanism, Spatial Planning, Transportation and Infrastructure Planning, Landscape Planning",2.7,Environmental engineering
410-02,"Urbanism, Spatial Planning, Transportation and Infrastructure Planning, Landscape Planning",5.7,Social and economic geography
410-03,"Construction Material Sciences, Chemistry, Building Physics",2.1,Civil engineering
410-03,"Construction Material Sciences, Chemistry, Building Physics",2.5,Materials engineering
410-04,"Structural Engineering, Building Informatics, Construction Operation",2.1,Civil engineering
410-05,"Applied Mechanics, Statics and Dynamics",2.1,Civil engineering
410-06,"Geotechnics, Hydraulic Engineering",2.7,Environmental engineering
